player_name,archetype_magicgg,mainboard,sideboard
Junichi Adachi,Izzet Spellementals,7 Island; 3 Sunderflock; 4 Eddymurk Crab; 4 Opt; 1 Three Steps Ahead; 4 Burst Lightning; 2 Stormcarved Coast; 4 Traumatic Critique; 3 Colorstorm Stallion; 2 Winternight Stories; 2 Flow State; 2 Spell Snare; 1 Spell Pierce; 3 Hearth Elemental; 2 Prismari Charm; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,"1 Disdainful Stroke; 1 Colorstorm Stallion; 1 Hydro-Man, Fluid Felon; 1 Ill-Timed Explosion; 2 Annul; 1 The Legend of Kuruk; 1 Ral, Crackling Wit; 2 Soul-Guide Lantern; 2 Fire Magic; 2 Broadside Barrage; 1 Sunderflock"
January Adams,Izzet Spellementals,4 Sunderflock; 6 Island; 4 Eddymurk Crab; 4 Opt; 4 Burst Lightning; 4 Traumatic Critique; 2 Get Out; 4 Winternight Stories; 2 Multiversal Passage; 1 Spell Snare; 1 Spell Pierce; 4 Hearth Elemental; 4 Riverpyre Verge; 4 Prismari Charm; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand,4 Colorstorm Stallion; 2 Get Out; 1 Impractical Joke; 2 Annul; 3 Soul-Guide Lantern; 1 Spell Pierce; 1 Spell Snare; 1 Broadside Barrage
Aaron Angeles,Golgari Control,2 Swamp; 4 Vibrance; 1 Forest; 3 Firdoch Core; 4 Starting Town; 1 The Soul Stone; 2 Wistfulness; 4 Deceit; 2 Emeritus of Abundance; 4 Wastewood Verge; 1 Nowhere to Run; 3 Cavern of Souls; 2 Bitter Triumph; 3 Professor Dellian Fel; 4 Overgrown Tomb; 2 Shoot the Sheriff; 3 Requiting Hex; 3 Unholy Annex // Ritual Chamber; 1 Pit of Offerings; 1 Strategic Betrayal; 4 Deathcap Glade; 1 Petrified Hamlet; 2 Withering Curse; 3 Ancient Cornucopia,"1 Strategic Betrayal; 3 Torpor Orb; 3 Intimidation Tactics; 1 Morlun, Devourer of Spiders; 4 Duress; 1 Maelstrom Pulse; 1 Deadly Cover-Up; 1 Soul-Guide Lantern"
William Araujo,Izzet Prowess,2 Willowrush Verge; 4 Opt; 4 Elusive Otter; 4 Stormchaser's Talent; 4 Burst Lightning; 1 Starting Town; 1 Bounce Off; 4 Boomerang Basics; 2 Breeding Pool; 4 Flow State; 1 Secret Identity; 3 Island; 2 Multiversal Passage; 1 Prismari Charm; 3 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 1 Octopus Form; 4 Slickshot Show-Off; 1 Stock Up; 2 Eddymurk Crab,1 Eddymurk Crab; 2 Quandrix Charm; 2 Colorstorm Stallion; 1 Get Out; 1 Into the Flood Maw; 2 Spell Pierce; 1 Drake Hatcher; 2 Broadside Barrage; 1 Impractical Joke; 2 Ghost Vacuum
William Au,Jeskai Control,2 Seam Rip; 2 High Noon; 3 Resonating Lute; 1 Erode; 1 Fire Magic; 1 Day of Judgment; 1 Improvisation Capstone; 4 Lightning Helix; 1 Get Lost; 1 Flashback; 3 Jeskai Revelation; 1 Negate; 2 Spell Snare; 3 No More Lies; 4 Consult the Star Charts; 3 Stock Up; 1 Mathemagics; 2 Mistrise Village; 1 Cori Mountain Monastery; 4 Great Hall of the Biblioplex; 3 Steam Vents; 2 Hallowed Fountain; 3 Sacred Foundry; 2 Meticulous Archive; 2 Elegant Parlor; 1 Stormcarved Coast; 2 Sunbillow Verge; 1 Island; 1 Plains; 1 Mountain; 1 Floodfarm Verge,"1 Annul; 2 Abrade; 2 Disdainful Stroke; 1 Flashfreeze; 1 Fire Magic; 3 Rest in Peace; 1 Day of Judgment; 2 Emeritus of Ideation; 2 Beza, the Bounding Spring"
David Åstrand,Mono-Green Landfall,4 Earthbender Ascension; 4 Mightform Harmonizer; 4 Escape Tunnel; 3 Meltstrider's Resolve; 4 Keen-Eyed Curator; 2 Sapling Nursery; 1 Royal Treatment; 4 Sazh's Chocobo; 3 Ba Sing Se; 4 Llanowar Elves; 4 Icetill Explorer; 4 Badgermole Cub; 4 Fabled Passage; 15 Forest,"2 Origin of Metalbending; 2 Surrak, Elusive Hunter; 1 Meltstrider's Resolve; 2 Pawpatch Formation; 2 Torpor Orb; 4 Mossborn Hydra; 2 Sapling Nursery"
Huaxing Bai,Mono-Green Landfall,1 Promising Vein; 4 Earthbender Ascension; 4 Mightform Harmonizer; 4 Meltstrider's Resolve; 4 Esper Origins; 4 Escape Tunnel; 2 Sapling Nursery; 4 Sazh's Chocobo; 3 Ba Sing Se; 4 Icetill Explorer; 4 Llanowar Elves; 4 Badgermole Cub; 4 Fabled Passage; 14 Forest,"3 Surrak, Elusive Hunter; 2 Pawpatch Formation; 2 Royal Treatment; 1 Glorious Decay; 3 Soul-Guide Lantern; 4 Mossborn Hydra"
Christian Baker,Izzet Prowess,7 Island; 2 Stormcarved Coast; 4 Riverpyre Verge; 4 Spirebluff Canal; 4 Steam Vents; 4 Stormchaser's Talent; 4 Slickshot Show-Off; 4 Eddymurk Crab; 1 Colorstorm Stallion; 4 Opt; 4 Sleight of Hand; 3 Flow State; 4 Burst Lightning; 4 Boomerang Basics; 2 Spell Pierce; 2 Get Out; 1 Impractical Joke; 1 Stock Up; 1 Roaring Furnace // Steaming Sauna,"1 Slagstorm; 2 Colorstorm Stallion; 1 Broadside Barrage; 1 Sear; 1 Roaring Furnace // Steaming Sauna; 1 Get Out; 1 Negate; 1 Annul; 2 Ral, Crackling Wit; 2 Ghost Vacuum; 1 Stock Up; 1 Bounce Off"
Edgar Baumler,Izzet Prowess,8 Island; 4 Eddymurk Crab; 4 Opt; 4 Stormchaser's Talent; 4 Burst Lightning; 1 Stormcarved Coast; 4 Boomerang Basics; 1 Colorstorm Stallion; 2 Get Out; 1 Roaring Furnace // Steaming Sauna; 1 Impractical Joke; 3 Flow State; 2 Spell Pierce; 1 Stock Up; 4 Riverpyre Verge; 4 Steam Vents; 4 Spirebluff Canal; 4 Sleight of Hand; 4 Slickshot Show-Off,"1 Annul; 1 Slagstorm; 2 Colorstorm Stallion; 1 Get Out; 2 Ghost Vacuum; 1 Sear; 1 Roaring Furnace // Steaming Sauna; 1 Into the Flood Maw; 1 Stock Up; 2 Ral, Crackling Wit; 1 Negate; 1 Broadside Barrage"
Jake Beardsley,Izzet Prowess,4 Boomerang Basics; 2 Bounce Off; 4 Burst Lightning; 4 Colorstorm Stallion; 2 Drake Hatcher; 2 Flow State; 7 Island; 2 Multiversal Passage; 4 Opt; 4 Riverpyre Verge; 3 Secret Identity; 4 Sleight of Hand; 4 Slickshot Show-Off; 4 Spirebluff Canal; 4 Steam Vents; 4 Stormchaser's Talent; 2 Vibrant Outburst,"1 Disdainful Stroke; 2 Drake Hatcher; 2 Flow State; 2 Get Out; 2 Into the Flood Maw; 1 Ral, Crackling Wit; 1 Sear; 2 Slagstorm; 2 Spell Pierce"
